,,,accuracy,accuracy,macro_precision,macro_precision,macro_recall,macro_recall,macro_f1,macro_f1,n,n
,,,mean,std,mean,std,mean,std,mean,std,mean,std
architecture,augmentation,subgroup,,,,,,,,,,
DenseNet,mixed,background_tree,0.3817,0.0397,0.3715,0.0509,0.3817,0.0397,0.3188,0.046,120.0,0.0
DenseNet,mixed,background_wall,0.3746,0.0271,0.4604,0.0894,0.3691,0.027,0.354,0.0429,118.0,0.0
DenseNet,mixed,background_white,0.5867,0.0347,0.6882,0.0305,0.5867,0.0347,0.5761,0.0421,120.0,0.0
DenseNet,mixed,lighting_1,0.4837,0.0213,0.5922,0.0248,0.4824,0.0213,0.4749,0.0264,239.0,0.0
DenseNet,mixed,lighting_2,0.4042,0.0348,0.5619,0.0245,0.4031,0.035,0.3813,0.0432,239.0,0.0
DenseNet,mixed,view_1,0.4883,0.0285,0.5858,0.0408,0.4883,0.0285,0.4717,0.0373,240.0,0.0
DenseNet,mixed,view_2,0.3992,0.0438,0.5365,0.0257,0.3969,0.0437,0.3902,0.0442,238.0,0.0
DenseNet,photo,background_floor,0.4817,0.0579,0.6233,0.0863,0.4817,0.0579,0.4571,0.0669,120.0,0.0
DenseNet,photo,background_tree,0.3333,0.0339,0.4136,0.0471,0.3333,0.0339,0.2837,0.0321,120.0,0.0
DenseNet,photo,background_wall,0.3865,0.0574,0.6039,0.0934,0.3833,0.0584,0.3726,0.0758,118.0,0.0
DenseNet,photo,background_white,0.5217,0.0298,0.6532,0.0736,0.5217,0.0298,0.5116,0.0369,120.0,0.0
DenseNet,photo,lighting_1,0.5046,0.0448,0.6112,0.0278,0.5037,0.0451,0.508,0.0485,239.0,0.0
DenseNet,photo,lighting_2,0.3573,0.0404,0.5624,0.0623,0.3563,0.0405,0.3332,0.0501,239.0,0.0
DenseNet,photo,view_1,0.4867,0.0217,0.6313,0.0368,0.4867,0.0217,0.4851,0.0235,240.0,0.0
DenseNet,photo,view_2,0.3748,0.0347,0.5089,0.034,0.3732,0.0352,0.3648,0.0374,238.0,0.0
ResNet,baseline,background_floor,0.535,0.0388,0.6782,0.0278,0.535,0.0388,0.539,0.0463,120.0,0.0
ResNet,baseline,background_tree,0.4717,0.0561,0.5445,0.0851,0.4717,0.0561,0.4445,0.0569,120.0,0.0
ResNet,baseline,background_wall,0.4882,0.0417,0.6223,0.0532,0.4815,0.0412,0.452,0.0428,118.0,0.0
ResNet,baseline,background_white,0.5533,0.0225,0.7048,0.019,0.5533,0.0225,0.5553,0.0214,120.0,0.0
ResNet,baseline,lighting_1,0.5724,0.0319,0.6568,0.031,0.5707,0.032,0.5551,0.0363,239.0,0.0
ResNet,baseline,lighting_2,0.4536,0.0256,0.5935,0.0077,0.4524,0.0253,0.4396,0.0223,239.0,0.0
ResNet,baseline,view_1,0.5567,0.04,0.6606,0.0185,0.5567,0.04,0.5451,0.0384,240.0,0.0
ResNet,baseline,view_2,0.4689,0.0113,0.5807,0.037,0.4662,0.0114,0.4589,0.0095,238.0,0.0
ResNet,geo,background_floor,0.5233,0.0495,0.7225,0.02,0.5233,0.0495,0.5209,0.0624,120.0,0.0
ResNet,geo,background_tree,0.44,0.0462,0.5533,0.0747,0.44,0.0462,0.4106,0.0519,120.0,0.0
